Feature,Dataset,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
HH_0.01_covariance_0_1,DD2,0,0,DT,0.3379908893660044,0.16638840085252304,0.12134309055502152,0.16638840085252304,0.11988101308821349,0.00023226253476638092,0,2.0383732318878174,0.051824092864990234
HH_0.01_covariance_0_1,DD2,0,1,DT,0.3379908893660044,0.16638840085252304,0.12134309055502152,0.16638840085252304,0.11988101308821349,0.00023226253476638092,0,1.8087689876556396,0.04717111587524414
HH_0.01_covariance_0_1,DD2,0,2,DT,0.3379908893660044,0.16638840085252304,0.12134309055502152,0.16638840085252304,0.11988101308821349,0.00023226253476638092,0,2.15260910987854,0.04700756072998047
HH_0.01_covariance_0_1,DD2,0,3,DT,0.3379908893660044,0.16638840085252304,0.12134309055502152,0.16638840085252304,0.11988101308821349,0.00023226253476638092,0,2.060292959213257,0.04741954803466797
HH_0.01_covariance_0_1,DD2,0,4,DT,0.3379908893660044,0.16638840085252304,0.12134309055502152,0.16638840085252304,0.11988101308821349,0.00023226253476638092,0,2.0345067977905273,0.04689931869506836
