Feature,Dataset,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
arp.opcode,AD-S2-1,0,0,DT,0.06414889772316588,0.047619047619047616,0.003054709415388852,0.047619047619047616,0.0057411315689461385,0.0,0,0.009793758392333984,0.010658979415893555
arp.opcode,AD-S2-1,0,1,DT,0.06414889772316588,0.047619047619047616,0.003054709415388852,0.047619047619047616,0.0057411315689461385,0.0,0,0.010223150253295898,0.010135173797607422
arp.opcode,AD-S2-1,0,2,DT,0.06414889772316588,0.047619047619047616,0.003054709415388852,0.047619047619047616,0.0057411315689461385,0.0,0,0.00503849983215332,0.009730339050292969
arp.opcode,AD-S2-1,0,3,DT,0.06414889772316588,0.047619047619047616,0.003054709415388852,0.047619047619047616,0.0057411315689461385,0.0,0,0.009706497192382812,0.01018214225769043
arp.opcode,AD-S2-1,0,4,DT,0.06414889772316588,0.047619047619047616,0.003054709415388852,0.047619047619047616,0.0057411315689461385,0.0,0,0.014838695526123047,0.010123491287231445
