Feature,Dataset,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
tcp.nxtseq,CS2D2,1,0,DT,0.7932312624179787,0.22141062882524323,0.4407669542571717,0.22141062882524323,0.2568457003869221,0.2732679397497014,0,0.2666027545928955,0.015639543533325195
tcp.nxtseq,CS2D2,2,0,DT,0.7920291185948275,0.21986225126040046,0.44721667876851373,0.21986225126040046,0.2602701463940638,0.2769633061628475,0,0.2726137638092041,0.0
tcp.nxtseq,CS2D2,3,0,DT,0.790893760539629,0.21765610560983795,0.4321665445825967,0.21765610560983795,0.2546169274000429,0.27312194012568725,0,0.25061535835266113,0.01363229751586914
tcp.nxtseq,CS2D2,4,0,DT,0.79144474312524,0.22599600347965443,0.44549153376041367,0.22599600347965443,0.2650650351977836,0.2749865375928754,0,0.26079273223876953,0.0
tcp.nxtseq,CS2D2,5,0,DT,0.7920124221528392,0.224270959235392,0.47111055466696766,0.224270959235392,0.26425193750186143,0.27373242165529266,0,0.28254151344299316,0.0
