Feature,Dataset,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
dns.flags.recavail,CS1D2,1,0,DT,0.6132284448483472,0.08333333333333333,0.05110237040402893,0.08333333333333333,0.0633541648329079,0.0,0,0.02877020835876465,0.0
dns.flags.recavail,CS1D2,2,0,DT,0.619646711348404,0.08333333333333333,0.05163722594570033,0.08333333333333333,0.06376356718276026,0.0,0,0.015017032623291016,0.0
dns.flags.recavail,CS1D2,3,0,DT,0.6141656253549926,0.08333333333333333,0.05118046877958272,0.08333333333333333,0.06341414781190988,0.0,0,0.018534183502197266,0.0
dns.flags.recavail,CS1D2,4,0,DT,0.6144386697338899,0.08333333333333333,0.05120322247782416,0.08333333333333333,0.06343161055014132,0.0,0,0.01564168930053711,0.0
dns.flags.recavail,CS1D2,5,0,DT,0.614041066712107,0.08333333333333333,0.05117008889267558,0.08333333333333333,0.06340617961711711,0.0,0,0.015624761581420898,0.0
