,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,230,0,0,0,3,4,13,1,0,0,0,0,0,2,6,0,1,0,0,0,0,0,0,0,0
1,0,595,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,0,0,0,124,85,19,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,8,687,140,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,5,132,694,34,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6,15,0,0,4,41,63,238,4,0,0,0,1,0,7,7,0,2,0,0,0,0,1,0,0,0
7,1,0,0,0,1,0,3,258,0,0,0,2,0,3,6,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,1,0,0,1,0,0,0,242,0,3,18,0,1,0,0,0,0,0,0,0,0
12,0,21,0,0,0,0,0,0,0,0,0,0,8805,0,0,0,0,0,0,0,0,0,0,0,0
13,2,0,0,0,0,0,5,1,0,0,0,0,0,193,5,0,0,0,0,0,0,0,0,0,0
14,5,0,0,0,5,1,7,3,0,0,0,2,0,7,1615,0,0,0,1,0,0,0,0,0,0
15,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0
16,1,0,0,0,0,3,0,0,0,0,0,1,0,1,15,0,481,0,10,0,0,0,1,0,0
17,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
18,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3348,0,1,0,0,0,0
19,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,805,0,0,1,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,394,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18796,0,1127
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1981,0,4530
