Feature,Dataset,Folder,T,CV,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
RST Flag Cnt,DD1,DD,0.0,2.0,0.0918706047819971,0.0833333333333333,0.0076688268995961,0.0833333333333333,0.014045137097051599,0.0001644415656426,0.0,0.0018332481384276803,0.00117702484130854
Src Port,DD1,DD,0.0,2.0,0.5715330520393812,0.1925987392971235,0.183321809813335,0.1925987392971235,0.164311733911263,0.2191121401526611,0.0,0.0193522453308105,0.00247831344604488
Subflow Bwd Byts,DD1,DD,0.0,2.0,0.5429535864978903,0.5087691081026965,0.47546504812439155,0.5087691081026965,0.4089929418650408,0.4004213058408343,0.0,0.00680398941040034,0.00209984779357906
Subflow Bwd Pkts,DD1,DD,0.0,2.0,0.2346554149085794,0.22249790164739797,0.2928561456256804,0.22249790164739797,0.1496651117899508,0.1346980884615508,0.0,0.00320172309875484,0.00202989578247066
Subflow Fwd Byts,DD1,DD,0.0,2.0,0.4792123769338959,0.4458712395358108,0.4728351124526181,0.4458712395358108,0.3808855998803307,0.3538158688882117,0.0,0.006715488433837841,0.0027523040771484
Subflow Fwd Pkts,DD1,DD,0.0,2.0,0.1612376933895921,0.2299245520239269,0.1904977191711686,0.2299245520239269,0.1763601824634827,0.054490801892846,0.0,0.00467934608459468,0.00244207382202142
SYN Flag Cnt,DD1,DD,0.0,2.0,0.2872573839662447,0.1077897019886203,0.084701906144665,0.1077897019886203,0.0543837206472506,0.0902001036395042,0.0,0.0019155979156493398,0.00104765892028804
Tot Bwd Pkts,DD1,DD,0.0,2.0,0.2346554149085794,0.22249790164739797,0.2928561456256804,0.22249790164739797,0.1496651117899508,0.1346980884615508,0.0,0.0034805774688720396,0.0018057823181152001
Tot Fwd Pkts,DD1,DD,0.0,2.0,0.1612376933895921,0.2299245520239269,0.1904977191711686,0.2299245520239269,0.1763601824634827,0.054490801892846,0.0,0.0046066761016845,0.00137004852294916
TotLen Bwd Pkts,DD1,DD,0.0,2.0,0.5429535864978903,0.5087691081026965,0.47546504812439155,0.5087691081026965,0.4089929418650408,0.4004213058408343,0.0,0.00784692764282222,0.0021783828735351
TotLen Fwd Pkts,DD1,DD,0.0,2.0,0.4792123769338959,0.4458712395358108,0.4728351124526181,0.4458712395358108,0.3808855998803307,0.3538158688882117,0.0,0.00675101280212396,0.002129316329956
URG Flag Cnt,DD1,DD,0.0,2.0,0.0918706047819971,0.0833333333333333,0.007655883731833001,0.0833333333333333,0.014023426765594902,0.0,0.0,0.00167932510375974,0.00134196281433102
