Feature,Dataset,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
ipv6.opt.type.action,DIS2,1,0,DT,0.0836833396970854,0.06743302473639552,0.03360687173251338,0.06743302473639552,0.0299870625026549,0.023182856219757908,0,0.015625476837158203,0.0
ipv6.opt.type.action,DIS2,2,0,DT,0.08559246531755123,0.06889028764537333,0.036105285211461044,0.06889028764537333,0.03169189314019124,0.0263820621133104,0,0.015547037124633789,0.0
ipv6.opt.type.action,DIS2,3,0,DT,0.09011072928598701,0.07008980599163639,0.037378144876658546,0.07008980599163639,0.03317842441147632,0.028205364564080404,0,0.015674591064453125,0.0
ipv6.opt.type.action,DIS2,4,0,DT,0.09106529209621993,0.06916815676806877,0.03641458992364861,0.06916815676806877,0.032329572062726915,0.026524106354685384,0,0.015669584274291992,0.0
ipv6.opt.type.action,DIS2,5,0,DT,0.08571974035891562,0.06897009282551451,0.034948553547955216,0.06897009282551451,0.03136215520544446,0.025578954922545027,0,0.015128612518310547,0.0
