Feature,Dataset,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
tls.handshake.extensions_server_name_type,DIS2,1,0,DT,0.06516482117856688,0.048585231193926846,0.027437644193506767,0.048585231193926846,0.007586956827278158,0.0014218357885518174,0,0.015622615814208984,0.0
tls.handshake.extensions_server_name_type,DIS2,2,0,DT,0.06255568283059693,0.048339093701996926,0.01667938965219006,0.048339093701996926,0.006911987982757469,0.0010118446178293272,0,0.015667200088500977,0.0
tls.handshake.extensions_server_name_type,DIS2,3,0,DT,0.061092019854906456,0.047619047619047616,0.002909143802614593,0.047619047619047616,0.005483301632995767,0.0,0,0.01563405990600586,0.0
tls.handshake.extensions_server_name_type,DIS2,4,0,DT,0.061537482499681814,0.04870466321243523,0.021921365774740832,0.04870466321243523,0.007474535626504678,0.0014848739027906177,0,0.0,0.015546083450317383
tls.handshake.extensions_server_name_type,DIS2,5,0,DT,0.06478299605447371,0.04860329958755155,0.02741941448089819,0.04860329958755155,0.007588151243923401,0.0014235575825441993,0,0.0,0.015676498413085938
