Feature,Dataset,T,CV,ML,Acc,b_Acc,Prec,Rec,F1,kap,ROC,tra-T,test-T
ntp.flags.vn,ADS1,1,0,DT,0.07163138874548271,0.052196404549345723,0.06411710360205676,0.052196404549345723,0.015091921017794795,0.006269487252865247,0,0.015617132186889648,0.0
ntp.flags.vn,ADS1,2,0,DT,0.0691190706679574,0.051619830057223884,0.06602510979022236,0.051619830057223884,0.013863561570176097,0.00559524493276764,0,0.013130664825439453,0.0
ntp.flags.vn,ADS1,3,0,DT,0.06666666666666667,0.05180497987234386,0.05634154399625515,0.05180497987234386,0.013288515502884108,0.005698187138350241,0,0.0,0.0
ntp.flags.vn,ADS1,4,0,DT,0.07002258793159083,0.052240132516785,0.06563021679080883,0.052240132516785,0.01507995480275636,0.006236893776129793,0,0.014993906021118164,0.0
ntp.flags.vn,ADS1,5,0,DT,0.06757018393030009,0.053323673312303435,0.06807455397546687,0.053323673312303435,0.016492798858952475,0.008053609116749905,0,0.014626264572143555,0.0
